Title,Genre,Release Date,Release Year,Description,Duration,Critic Rating,Audience Rating,Consensus Text,URL,Type,netflix,max-us,fandango,vudu,disney-plus-us,paramount-plus-us,peacock,apple-tv-us,apple-tv-plus-us,hulu,amazon-prime-video-us
He's Into Her,Romance/,"2021 - Present,",2021,He's Into Her: Season 2 Trailer,N/A,,70%,N/A,https://www.rottentomatoes.com/tv/hes_into_her,TV Show,No,No,No,No,No,No,No,No,No,No,No
Nine Perfect Strangers,Drama,"2021 - Present,",2021,Nine Perfect Strangers: Limited Series Trailer - Everybody Has A Story,N/A,59%,57%,N/A,https://www.rottentomatoes.com/tv/nine_perfect_strangers,TV Show,No,No,No,No,No,No,No,Yes,No,Yes,Yes
Customs Frontline,Drama/,"Released Jul 19,",N/A,Customs Frontline: Trailer 1,"2h 0m,",11%,67%,N/A,https://www.rottentomatoes.com/m/customs_frontline,Movie,No,No,No,No,No,No,No,No,No,No,No
Ghostbusters: Afterlife,Comedy/,"Released Nov 19, 2021,",2021,Ghostbusters: Afterlife: Final Trailer,"2h 4m,",23%,48%,"Critics Consensus
        
Ghostbusters: Afterlife crosses the streams between franchise revival and exercise in nostalgia -- and this time around, the bustin' mostly feels good.
Read Critics Reviews",https://www.rottentomatoes.com/m/ghostbusters_afterlife,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Severance,Drama/,"2022 - Present,",2022,5 Shows To Watch If You Love 'Severance',N/A,97%,58%,N/A,https://www.rottentomatoes.com/tv/severance,TV Show,No,No,No,No,No,No,No,No,Yes,No,No
The Innocent,Drama,"2021 - Present,",2021,"An accidental killing leads a man down a dark hole of intrigue and murder; just as he finds love and freedom, a phone call brings back the nightmare.",N/A,100%,64%,N/A,https://www.rottentomatoes.com/tv/the_innocent,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
Getting Lost With Erin French,Travel/,"Next Ep Sun Aug 11,",N/A,Cookbook author and restaurateur revisits her book.,N/A,,,N/A,https://www.rottentomatoes.com/tv/getting_lost_with_erin_french,TV Show,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes
Sicario,Mystery & Thriller/,"Released Oct 2, 2015,",2015,Sicario: 'Hitman' Trailer,"2h 1m,",62%,65%,"Critics Consensus
        
Led by outstanding work from Emily Blunt and Benicio del Toro, Sicario is a taut, tightly wound thriller with much more on its mind than attention-getting set pieces.
Read Critics Reviews",https://www.rottentomatoes.com/m/sicario_2015,Movie,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes
The Watchers,Horror/,"Released Jun 7,",N/A,The Watchers: TV Spot - We Are Their Prey,"1h 42m,",29%,82%,"Critics Consensus
        
Heavy on eerie mood but undone by an obtuse script, The Watchers can only hold the gaze for so long before tedium sets in.
Read Critics Reviews",https://www.rottentomatoes.com/m/the_watchers_2024,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Viraaji,Drama,"Now Playing,",N/A,"The story happens in Visakhapatnam. A group of four people (a film producer, a stand up comedian, a doctor and a pre wedding shoot photographer) goes to a place top attend performa sanmanam event of a celebrity astrologer.","1h 40m,",,,N/A,https://www.rottentomatoes.com/m/viraaji,Movie,No,No,No,No,No,No,No,No,No,No,No
